#... Cluster ID are referred to Magneticum Box2b
#...	    HaloID, M500c [Mo/h], R500c [kpc/h], Mvir [Mo/h]
#... Cluster #1: HaloID(0, 1),1.35e15,1536.5271,1.96e15
#... Cluster #2: HaloID(0, 2),7.51e14,1262.3514,1.48e15
#... Cluster #3: HaloID(0, 3),4.55e14,1068.0947,7.48e14
#... Cluster #4: HaloID(0, 4),3.83e14,1008.51544,6.85e14
#... Cluster #5: HaloID(0, 5),5.82e14,1159.3064,1.13e15
#... The gas density profiles are expressed in unit of cm^-3
#... r/R500c, #1, #2, #3, #4, #5
3.3643262,2.1555413e-6,7.390673e-6,7.221164e-6,5.006661e-6,3.3872218e-6
3.4676867,1.9871854e-6,6.923057e-6,6.780769e-6,4.5904108e-6,3.0254378e-6
3.574222,1.9278484e-6,6.400091e-6,6.610293e-6,4.3035197e-6,2.8418747e-6
3.6840308,1.737351e-6,5.900566e-6,6.2785307e-6,4.3811283e-6,2.644558e-6
3.7972133,1.5987634e-6,5.650632e-6,5.926331e-6,4.3693994e-6,2.442445e-6
3.9138727,1.4726254e-6,5.372034e-6,5.962452e-6,4.2790225e-6,2.09958e-6
4.0341163,1.3830592e-6,5.123998e-6,6.115149e-6,4.3155787e-6,2.0164832e-6
4.1580544,1.3869891e-6,4.7491467e-6,5.424979e-6,4.4296316e-6,1.955434e-6
4.2857995,1.3497854e-6,4.592752e-6,4.952199e-6,4.335272e-6,1.8191126e-6
4.4174695,1.268379e-6,4.68342e-6,4.2162924e-6,4.4111216e-6,1.8243275e-6
4.553185,1.2077548e-6,4.635245e-6,3.509237e-6,4.7255494e-6,1.7579113e-6
4.69307,1.1913831e-6,4.7508966e-6,2.9654223e-6,5.151232e-6,1.837494e-6
4.837252,1.2805959e-6,4.683932e-6,2.5310756e-6,5.9390554e-6,1.8580243e-6
4.985864,1.1497799e-6,4.021602e-6,2.2539589e-6,5.2581977e-6,1.7760433e-6
5.139042,1.0800849e-6,3.3648585e-6,2.1374e-6,4.034535e-6,1.5616437e-6
5.2969255,1.0585505e-6,2.7570943e-6,2.067699e-6,3.4080763e-6,1.5891164e-6
5.4596596,1.1532193e-6,2.396263e-6,1.981801e-6,2.939073e-6,1.6041371e-6
5.6273932,1.292448e-6,2.133987e-6,1.9918173e-6,2.524734e-6,1.64006e-6
5.8002806,1.4253669e-6,1.8192271e-6,2.0338011e-6,2.3816615e-6,1.7427914e-6
5.9784794,1.2890733e-6,1.6409988e-6,2.285951e-6,2.2149916e-6,1.856792e-6
6.162153,1.068321e-6,1.5065132e-6,2.2922e-6,2.0708183e-6,1.8577357e-6
6.351469,9.082939e-7,1.3730288e-6,2.2426555e-6,1.9890108e-6,1.6229494e-6
6.5466013,9.152489e-7,1.2876122e-6,1.9506315e-6,1.8382177e-6,1.3564728e-6
6.7477283,8.502133e-7,1.2395976e-6,1.6415829e-6,1.5602266e-6,1.1767627e-6
6.9550347,7.917539e-7,1.1567226e-6,1.4559379e-6,1.3475205e-6,1.0562569e-6
7.1687107,7.008263e-7,1.0382837e-6,1.2974365e-6,1.2982142e-6,9.307645e-7
7.3889503,7.472637e-7,9.962515e-7,1.1791409e-6,1.1161111e-6,8.646627e-7
7.615957,7.638256e-7,9.844596e-7,1.214344e-6,1.1508301e-6,7.977052e-7
7.849937,7.884733e-7,1.0101612e-6,1.308152e-6,1.1444034e-6,7.231989e-7
8.091105,8.149479e-7,1.0285693e-6,1.150876e-6,1.0130298e-6,6.644955e-7
8.339684,7.1744563e-7,1.0361755e-6,1.0566545e-6,9.437927e-7,6.37441e-7
8.5959,6.271219e-7,1.0288279e-6,9.2372005e-7,9.845204e-7,6.6376225e-7
8.859986,6.019231e-7,1.1328763e-6,8.2610876e-7,9.698764e-7,7.086558e-7
9.132186,6.2412937e-7,1.0370169e-6,7.27e-7,1.0295884e-6,7.3616314e-7
9.412748,6.786059e-7,8.652366e-7,7.1011146e-7,1.0388798e-6,7.688104e-7
9.701931,6.6289283e-7,7.338028e-7,7.0963097e-7,1.145919e-6,7.909208e-7
