  0.0  0.1  0.2  0.3 
7.8000e+00 7.6489e+00 5.5275e+00 4.1048e+00 3.1170e+00 
7.9000e+00 7.6359e+00 5.5193e+00 4.0995e+00 3.1136e+00 
8.0000e+00 7.6229e+00 5.5110e+00 4.0942e+00 3.1102e+00 
8.1000e+00 7.6099e+00 5.5028e+00 4.0889e+00 3.1068e+00 
8.2000e+00 7.5971e+00 5.4946e+00 4.0836e+00 3.1033e+00 
8.3000e+00 7.5843e+00 5.4864e+00 4.0782e+00 3.0998e+00 
8.4000e+00 7.5716e+00 5.4782e+00 4.0728e+00 3.0963e+00 
8.5000e+00 7.5588e+00 5.4700e+00 4.0675e+00 3.0927e+00 
8.6000e+00 7.5460e+00 5.4618e+00 4.0621e+00 3.0892e+00 
8.7000e+00 7.5334e+00 5.4536e+00 4.0567e+00 3.0856e+00 
8.8000e+00 7.5208e+00 5.4454e+00 4.0512e+00 3.0820e+00 
8.9000e+00 7.5082e+00 5.4372e+00 4.0458e+00 3.0784e+00 
9.0000e+00 7.4956e+00 5.4290e+00 4.0403e+00 3.0747e+00 
9.1000e+00 7.4829e+00 5.4208e+00 4.0349e+00 3.0711e+00 
9.2000e+00 7.4706e+00 5.4128e+00 4.0295e+00 3.0675e+00 
9.3000e+00 7.4584e+00 5.4048e+00 4.0241e+00 3.0639e+00 
9.4000e+00 7.4463e+00 5.3968e+00 4.0187e+00 3.0603e+00 
9.5000e+00 7.4341e+00 5.3888e+00 4.0134e+00 3.0567e+00 
9.6000e+00 7.4219e+00 5.3808e+00 4.0080e+00 3.0531e+00 
9.7000e+00 7.4097e+00 5.3729e+00 4.0026e+00 3.0494e+00 
9.8000e+00 7.3977e+00 5.3649e+00 3.9972e+00 3.0457e+00 
9.9000e+00 7.3857e+00 5.3570e+00 3.9918e+00 3.0420e+00 
1.0000e+01 7.3737e+00 5.3491e+00 3.9864e+00 3.0383e+00 
1.0100e+01 7.3617e+00 5.3411e+00 3.9810e+00 3.0346e+00 
1.0200e+01 7.3497e+00 5.3332e+00 3.9756e+00 3.0309e+00 
1.0300e+01 7.3379e+00 5.3254e+00 3.9703e+00 3.0272e+00 
1.0400e+01 7.3263e+00 5.3176e+00 3.9649e+00 3.0236e+00 
1.0500e+01 7.3147e+00 5.3099e+00 3.9596e+00 3.0199e+00 
